painting,paintingLabel,artist,artistLabel,image,creationDate,artistBirthDate,artistDeathDate,movement,movementLabel
http://www.wikidata.org/entity/Q630121,Sulla terrazza,http://www.wikidata.org/entity/Q39931,Pierre-Auguste Renoir,http://commons.wikimedia.org/wiki/Special:FilePath/Pierre-Auguste%20Renoir%20-%20Two%20Sisters%20%28On%20the%20Terrace%29%20-%201933.455%20-%20Art%20Institute%20of%20Chicago.jpg,1881-01-01T00:00:00Z,1841-02-25T00:00:00Z,1919-12-03T00:00:00Z,,
http://www.wikidata.org/entity/Q664038,Martirio dei Diecimila,http://www.wikidata.org/entity/Q5580,Albrecht Dürer,http://commons.wikimedia.org/wiki/Special:FilePath/D%C3%BCrer%2C%20Albrecht%20-%20Marter%20der%20zehntausend%20Christen%20-%20KHM.jpg,1508-01-01T00:00:00Z,1471-05-30T00:00:00Z,1528-04-16T00:00:00Z,http://www.wikidata.org/entity/Q2455000,rinascimento tedesco
http://www.wikidata.org/entity/Q614047,Fanciulla con cappello rosso,http://www.wikidata.org/entity/Q41264,Jan Vermeer,http://commons.wikimedia.org/wiki/Special:FilePath/Vermeer%20-%20Girl%20with%20a%20Red%20Hat.JPG,1669-01-01T00:00:00Z,1632-10-01T00:00:00Z,1675-12-15T00:00:00Z,http://www.wikidata.org/entity/Q2352880,pittura del Secolo d'oro olandese
http://www.wikidata.org/entity/Q655420,Ritratto della duchessa de Alba in nero,http://www.wikidata.org/entity/Q5432,Francisco Goya,http://commons.wikimedia.org/wiki/Special:FilePath/Francisco%20de%20Goya%20y%20Lucientes%20-%20The%20Duchess%20of%20Alba%20-%20A102%20-%20Hispanic%20Society%20of%20America.jpg,1797-01-01T00:00:00Z,1746-03-30T00:00:00Z,1828-04-16T00:00:00Z,,
http://www.wikidata.org/entity/Q655420,Ritratto della duchessa de Alba in nero,http://www.wikidata.org/entity/Q5432,Francisco Goya,http://commons.wikimedia.org/wiki/Special:FilePath/Goya-duquesa%20de%20alba.jpg,1797-01-01T00:00:00Z,1746-03-30T00:00:00Z,1828-04-16T00:00:00Z,,
http://www.wikidata.org/entity/Q661803,Autoritratto,http://www.wikidata.org/entity/Q40599,Édouard Manet,http://commons.wikimedia.org/wiki/Special:FilePath/Manet%20Self-Portrait%20with%20Palette%20v3.jpg,1879-01-01T00:00:00Z,1832-01-23T00:00:00Z,1883-04-30T00:00:00Z,,
http://www.wikidata.org/entity/Q655705,I Musici,http://www.wikidata.org/entity/Q42207,Caravaggio,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Musicians%20MET%20DP-687-001.jpg,1595-01-01T00:00:00Z,1571-09-29T00:00:00Z,1610-01-01T00:00:00Z,http://www.wikidata.org/entity/Q37853,barocco
http://www.wikidata.org/entity/Q661378,Lezione di anatomia del dottor Nicolaes Tulp,http://www.wikidata.org/entity/Q5598,Rembrandt,http://commons.wikimedia.org/wiki/Special:FilePath/Rembrandt%20van%20Rijn%20-%20The%20Anatomy%20Lesson%20of%20Dr%20Nicolaes%20Tulp%20-%20146%20-%20Mauritshuis.jpg,1632-01-01T00:00:00Z,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,http://www.wikidata.org/entity/Q2352880,pittura del Secolo d'oro olandese
http://www.wikidata.org/entity/Q649408,Natività della Vergine,http://www.wikidata.org/entity/Q153746,Albrecht Altdorfer,http://commons.wikimedia.org/wiki/Special:FilePath/Altdorfer%2C%20Albrecht%20-%20Geburt%20Mariae%20-%20CC-BY-SA%20BSTGS%205358.jpg,1520-01-01T00:00:00Z,1480-01-01T00:00:00Z,1538-02-12T00:00:00Z,,
http://www.wikidata.org/entity/Q644856,Trionfo della Morte,http://www.wikidata.org/entity/Q43270,Pieter Bruegel il Vecchio,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Triumph%20of%20Death%20by%20Pieter%20Bruegel%20the%20Elder.jpg,1560-01-01T00:00:00Z,1525-01-01T00:00:00Z,1569-09-19T00:00:00Z,http://www.wikidata.org/entity/Q610877,Rinascimento nordico
